site_id,lat,lon,capacity_mw,c_stab,pearsons,rep_year
9019500,40.14771527,-105.8658793,3.595211432,,,
7069220,36.46667,-91.53,1.118117914,,,
8328950,35.39471361,-106.5475309,1.344764608,,,
3020000,41.4750376,-79.44546419,5.893181321,0.37155762,0.020592948,2019
3592000,34.39866661,-87.98793911,2.176294183,0.29437363,-0.033820391,2018
7227000,35.34394228,-103.4448062,13.74559184,,,
8063800,32.25014342,-96.64707736,1.95246781,,,
6670500,42.17066253,-104.6973797,3.802675047,0.3366077,0.088477233,2019
1184000,41.988617,-72.60346926,29.26385634,0.29666737,-0.038370566,2010
1374701,41.35790294,-73.66544033,1.246366475,,,
3400800,36.75166341,-83.25657005,1.216025416,0.27439925,-0.066315746,2015
1342602,43.10639,-75.20834,1.214555046,0.32175806,-0.130874372,2018
9419800,36.12065721,-114.9102765,2.291057443,0.785789,-0.720002854,2014
1381000,40.89590634,-74.3981726,2.698287215,,,
3282060,37.60163041,-83.83265398,12.18140454,0.14308733,-0.064304308,2013
1091500,43.09355473,-71.65996233,1.194996054,0.38366398,-0.117304254,2018
3282290,37.78452214,-84.10328751,14.09742525,0.1671433,-0.046652269,2014
8047000,32.65073255,-97.44840009,5.329573062,,,
1315000,43.75577387,-74.275498,1.14797863,0.5009504,-0.072608349,2010
4108660,42.46480853,-85.74945551,2.499793464,0.78702825,-0.072340091,2014
3284500,37.74576434,-84.58728285,20.11715944,0.15298401,-0.047725425,2012
3284230,37.84321867,-84.44046271,17.94639204,0.15168726,-0.036004097,2014
8028000,31.09381882,-93.38931823,1.930988458,,,
1544000,41.40856114,-78.01935312,2.388784845,,,
3225500,40.3587684,-83.06903945,3.226290442,,,
3321500,37.85831301,-87.41062104,14.75826889,0.27175415,0.001717159,2015
3287250,38.05201874,-84.83054111,20.95946263,0.20424825,-0.05670401,2013
4235600,43.059751,-76.83772739,13.27753882,0.31852058,0.095490249,2014
9239500,40.36465014,-106.8002453,2.55501223,,,
2469761,31.75747968,-88.12944571,241.7081373,0.20527758,-0.008743078,2014
2466030,32.77891215,-87.84084137,50.95915164,,,
10344500,39.39009,-120.0955,1.57437754,0.5124146,0.118301948,2014
2243960,29.50861709,-81.80572505,27.65894261,0.6327147,0.024150449,2010
9512165,33.5157,-111.6916,4.621098822,,,
4192500,41.2911004,-84.28098805,4.995513743,,,
5018000,48.8521,-113.4159,3.053605495,0.2936854,0.256677196,2018
1123600,42.08194533,-72.05919147,1.637485602,0.24264562,0.041428671,2013
6227600,43.22564573,-108.9547186,1.055609952,,,
1375000,41.2254384,-73.8544174,2.76819512,,,
4182900,41.0825814,-85.11589578,1.210706787,,,
2467000,32.52065708,-87.87883184,237.5595802,0.20624414,-0.070921531,2019
3284000,37.89473687,-84.26135825,18.68265838,,,
3287000,37.92672034,-84.82159285,18.59962456,0.21400025,-0.061825738,2013
3282120,37.67724554,-83.94808865,12.22504516,0.16309652,-0.037218478,2014
1354500,42.87811653,-74.04201653,11.28043548,0.17397045,0.056776648,2014
3090500,41.04614954,-81.00249105,3.518909065,0.2937252,0.112111706,2014
3150000,39.73262061,-81.90871632,12.73354796,0.33517295,-0.048743004,2013
8096500,31.55104682,-97.09760883,19.05855722,,,
5454500,41.65791354,-91.5409205,1.868686642,0.16180436,0.153684207,2013
5464000,42.49733447,-92.3384531,1.491532227,,,
1520000,41.9839364,-77.15159512,1.781581045,,,
3058000,39.00326341,-80.47429765,2.715215128,,,
14155500,43.78679293,-122.9547658,9.715279144,0.42513612,-0.073495829,2011
1328770,43.18833,-73.58334,9.550007097,0.4097135,-0.152346579,2018
8055000,32.97269942,-97.05703303,4.042301446,,,
7263012,34.95197915,-93.16036063,10.65270355,0.1912148,0.024530036,2011
2238500,29.08005449,-81.88188185,7.572617044,,,
3086000,40.50333787,-80.08930625,84.41465297,0.30647272,-0.080990032,2013
8401500,32.54783,-104.3781,10.62131837,0.33026478,0.127209953,2018
8403500,32.49074942,-104.2521162,1.848078008,0.32392251,0.087763827,2010
2105500,34.83539581,-78.82302352,12.44594227,0.2950699,0.06697516,2013
11476500,40.067,-123.8,4.962875776,,,
4180500,41.1995482,-85.02077745,1.251803026,,,
14170000,44.12005533,-123.3021609,5.056782002,0.32828858,-0.173754254,2011
14162200,44.1711628,-122.3276174,4.981926823,0.40334108,-0.055603304,2011
6017000,45.13004,-112.7406,1.240145393,0.76271707,-0.213605831,2019
2304500,28.02462416,-82.42840625,5.120129095,0.23826069,0.007526338,2012
9429000,33.73190075,-114.5118585,54.25971352,0.667137,0.276270482,2016
6875900,39.47786641,-98.31482202,1.89257388,0.21241352,-0.010303848,2016
3049500,40.6135564,-79.71762305,34.04946682,0.26053706,-0.047900504,2013
1541200,40.95209,-78.52301839,3.290348929,0.26529378,-0.019586457,2017
1166500,42.6325426,-72.1229774,1.875712361,0.42023838,-0.087632139,2019
3082500,39.99572574,-79.59445079,2.642440552,,,
4247000,43.27057007,-76.20613219,2.460800043,0.3665724,0.007967594,2014
2465000,33.20871222,-87.59254284,53.83912747,,,
3249500,38.11760167,-83.53235945,12.64755252,0.8541959,,2010
1188090,41.79868627,-72.93143393,4.647284818,0.20645198,0.014817485,2014
2105769,34.40473468,-78.29330392,16.5707735,0.20400119,0.076190504,2013
9041400,40.1130698,-106.4142179,5.701006549,,,
9426000,34.23286575,-113.6013129,3.812167813,0.21187976,-0.082580846,2012
5463050,42.53940853,-92.44878063,2.324203538,0.28100428,0.04796629,2017
4242500,43.43881947,-75.59030046,1.041943839,,,
3209000,37.23289354,-82.34422805,8.616109306,,,
3320000,37.53140468,-87.26479544,20.24526351,0.30421627,-0.019327047,2016
1347000,43.01417,-74.78416,1.671783832,0.31913367,-0.128000531,2018
3039000,40.71402307,-79.50829225,6.075349717,0.28137448,0.078381989,2014
2341460,32.46965828,-84.99665091,21.86850276,0.33823362,-0.069546148,2014
8162500,28.97711269,-96.01223083,10.93561563,,,
5464730,41.94449167,-91.63053503,2.27607102,0.23998323,0.060483621,2019
9246500,40.55683434,-107.3863286,1.248413982,,,
1153000,43.3389236,-72.50748553,1.614209629,0.22711669,-0.051258021,2018
8048000,32.76149062,-97.33146676,1.73266595,,,
7241000,35.48602348,-97.66658649,5.169359085,,,
1500000,42.32911247,-75.22999393,1.455300035,,,
3042500,40.59449207,-79.09882492,1.267818269,,,
4151500,43.32481,-83.74167,1.024479752,,,
3070260,39.49045427,-79.63913772,1.722746053,,,
4101225,41.66303527,-86.17717538,2.335396385,,,
3124500,40.63531094,-81.55800092,1.978472955,,,
1575500,39.92253434,-76.75402339,1.218079408,,,
8104100,31.02266342,-97.53181203,10.11491428,,,
1518000,41.89822694,-77.13890786,4.639088179,,,
3203600,37.59963274,-81.82077638,15.11098669,,,
3111500,40.21553154,-80.96267172,1.486376105,0.8141511,-0.070532906,2013
6890900,39.11408747,-95.4261717,3.490848699,,,
3056000,39.31293794,-80.03392405,46.99301639,0.27571207,-0.053631779,2016
5430500,42.66939773,-89.03152557,1.281778457,0.57963365,-0.132552684,2016
1113895,41.97145353,-71.47084333,1.720863999,0.35872635,-0.037835912,2017
5378500,44.16216,-91.81022,25.25088937,0.505499,0.133341418,2018